City,2015 Sales,2015 Median Price
ADELAIDE            ,ADELAIDE             ,6.0,757500.0
ADELAIDE            ,NORTH ADELAIDE       ,4.0,992500.0
ADELAIDE HILLS      ,ALDGATE              ,17.0,685000.0
ADELAIDE HILLS      ,BALHANNAH            ,9.0,439000.0
ADELAIDE HILLS      ,BASKET RANGE         ,1.0,951000.0
ADELAIDE HILLS      ,BELAIR               ,18.0,595000.0
ADELAIDE HILLS      ,BIRDWOOD             ,3.0,425000.0
ADELAIDE HILLS      ,BRADBURY             ,1.0,505000.0
ADELAIDE HILLS      ,BRIDGEWATER          ,12.0,405500.0
ADELAIDE HILLS      ,CAREY GULLY          ,1.0,530000.0
ADELAIDE HILLS      ,CHARLESTON           ,1.0,435000.0
ADELAIDE HILLS      ,CRAFERS              ,5.0,565000.0
ADELAIDE HILLS      ,CRAFERS WEST         ,3.0,577000.0
ADELAIDE HILLS      ,FOREST RANGE         ,1.0,370000.0
ADELAIDE HILLS      ,GREENHILL            ,2.0,605250.0
ADELAIDE HILLS      ,GUMERACHA            ,2.0,407500.0
ADELAIDE HILLS      ,HAHNDORF             ,6.0,590000.0
ADELAIDE HILLS      ,HEATHFIELD           ,3.0,700000.0
ADELAIDE HILLS      ,KERSBROOK            ,4.0,340000.0
ADELAIDE HILLS      ,LENSWOOD             ,1.0,190000.0
ADELAIDE HILLS      ,LITTLEHAMPTON        ,19.0,452500.0
ADELAIDE HILLS      ,LOBETHAL             ,5.0,299950.0
ADELAIDE HILLS      ,MYLOR                ,1.0,390000.0
ADELAIDE HILLS      ,NAIRNE               ,21.0,367000.0
ADELAIDE HILLS      ,PARACOMBE            ,1.0,460000.0
ADELAIDE HILLS      ,PICCADILLY           ,1.0,550000.0
ADELAIDE HILLS      ,ROSTREVOR            ,15.0,486000.0
ADELAIDE HILLS      ,SKYE                 ,1.0,840000.0
ADELAIDE HILLS      ,STIRLING             ,15.0,622500.0
ADELAIDE HILLS      ,SUMMERTOWN           ,2.0,648750.0
ADELAIDE HILLS      ,UPPER STURT          ,4.0,500000.0
ADELAIDE HILLS      ,URAIDLA              ,3.0,415500.0
ADELAIDE HILLS      ,VERDUN               ,1.0,417500.0
ADELAIDE HILLS      ,WATERFALL GULLY      ,2.0,805000.0
ADELAIDE HILLS      ,WOODFORDE            ,1.0,840000.0
ADELAIDE HILLS      ,WOODSIDE             ,6.0,313750.0
BURNSIDE            ,AULDANA              ,3.0,1010000.0
