 Number ID,City,Suburb,Sales Q1 2017,Median Q1 2017,Sales Q2 2017,Median Q2 2017,Sales Q3 2017,Median Q3 2017,Sales Q4 2017,Median Q4 2017,2017 Sales
0,ADELAIDE,ADELAIDE,6.0,627500.0,6.0,900000.0,4.0,695000.0,6.0,780500.0,22.0
1,ADELAIDE,NORTH ADELAIDE,6.0,992500.0,6.0,1451000.0,9.0,1375000.0,5.0,1095000.0,26.0
2,ADELAIDE HILLS,ALDGATE,14.0,695000.0,20.0,756000.0,12.0,735000.0,10.0,675000.0,56.0
3,ADELAIDE HILLS,ASHTON,1.0,415000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
4,ADELAIDE HILLS,BASKET RANGE,1.0,470000.0,2.0,619500.0,1.0,488000.0,0.0,0.0,4.0
5,ADELAIDE HILLS,BELAIR,18.0,700000.0,19.0,658250.0,21.0,613000.0,14.0,570000.0,72.0
7,ADELAIDE HILLS,BRIDGEWATER,18.0,435475.0,19.0,475000.0,24.0,465000.0,18.0,448000.0,79.0
8,ADELAIDE HILLS,CAREY GULLY,0.0,0.0,0.0,0.0,1.0,562500.0,0.0,0.0,1.0
12,ADELAIDE HILLS,CRAFERS,11.0,775250.0,7.0,770000.0,8.0,720000.0,5.0,820000.0,31.0
13,ADELAIDE HILLS,CRAFERS WEST,3.0,562500.0,4.0,851500.0,4.0,636000.0,6.0,742500.0,17.0
15,ADELAIDE HILLS,GREENHILL,2.0,476500.0,0.0,0.0,0.0,0.0,2.0,570000.0,4.0
16,ADELAIDE HILLS,HEATHFIELD,0.0,0.0,2.0,549250.0,3.0,565000.0,3.0,710000.0,8.0
20,ADELAIDE HILLS,LONGWOOD,0.0,0.0,0.0,0.0,0.0,0.0,1.0,580000.0,1.0
21,ADELAIDE HILLS,MARBLE HILL,0.0,0.0,0.0,0.0,1.0,460000.0,0.0,0.0,1.0
24,ADELAIDE HILLS,MYLOR,2.0,458750.0,2.0,435000.0,3.0,591500.0,2.0,645000.0,9.0
25,ADELAIDE HILLS,NORTON SUMMIT,1.0,660000.0,2.0,357500.0,2.0,612500.0,1.0,730000.0,6.0
26,ADELAIDE HILLS,PICCADILLY,0.0,0.0,0.0,0.0,1.0,615000.0,0.0,0.0,1.0
27,ADELAIDE HILLS,ROSTREVOR,29.0,580000.0,28.0,581500.0,39.0,612500.0,36.0,639000.0,132.0
29,ADELAIDE HILLS,STIRLING,17.0,780000.0,18.0,730000.0,11.0,704000.0,9.0,710000.0,55.0
30,ADELAIDE HILLS,STONYFELL,8.0,946000.0,5.0,1200000.0,2.0,825000.0,5.0,1075000.0,20.0
31,ADELAIDE HILLS,SUMMERTOWN,3.0,621500.0,3.0,649000.0,1.0,550000.0,3.0,513000.0,10.0
32,ADELAIDE HILLS,TERINGIE,1.0,779500.0,4.0,827500.0,5.0,900000.0,1.0,810000.0,11.0
33,ADELAIDE HILLS,UPPER STURT,1.0,530000.0,2.0,521250.0,3.0,630000.0,3.0,473500.0,9.0
34,ADELAIDE HILLS,URAIDLA,2.0,585250.0,3.0,710000.0,1.0,630000.0,4.0,450000.0,10.0
35,ADELAIDE HILLS,WATERFALL GULLY,0.0,0.0,2.0,660000.0,1.0,782000.0,1.0,1065000.0,4.0
36,ADELAIDE HILLS,WOODFORDE,1.0,860000.0,0.0,0.0,0.0,0.0,3.0,560500.0,4.0
37,BURNSIDE,AULDANA,2.0,759000.0,2.0,1555000.0,2.0,1795500.0,2.0,1157500.0,8.0
38,BURNSIDE,BEAUMONT,10.0,1050000.0,10.0,877500.0,10.0,957000.0,11.0,1012250.0,41.0
39,BURNSIDE,BEULAH PARK,4.0,798000.0,4.0,648000.0,3.0,730750.0,7.0,685000.0,18.0
40,BURNSIDE,BURNSIDE,11.0,873500.0,10.0,823000.0,10.0,1008000.0,3.0,825000.0,34.0
41,BURNSIDE,DULWICH,2.0,1390000.0,1.0,1010000.0,5.0,1395000.0,4.0,1443000.0,12.0
42,BURNSIDE,EASTWOOD,5.0,635000.0,2.0,1062500.0,1.0,630000.0,2.0,746000.0,10.0
43,BURNSIDE,ERINDALE,4.0,1145000.0,4.0,1330000.0,5.0,878000.0,7.0,1410000.0,20.0
44,BURNSIDE,FREWVILLE,3.0,900000.0,2.0,726500.0,0.0,0.0,4.0,815000.0,9.0
45,BURNSIDE,GLEN OSMOND,6.0,1007500.0,12.0,870000.0,8.0,915500.0,9.0,1020000.0,35.0
46,BURNSIDE,GLENSIDE,4.0,858250.0,2.0,717000.0,3.0,1250000.0,3.0,1040000.0,12.0
47,BURNSIDE,GLENUNGA,11.0,1000000.0,10.0,1228000.0,9.0,880000.0,8.0,1210000.0,38.0
48,BURNSIDE,HAZELWOOD PARK,10.0,828125.0,8.0,1207000.0,2.0,852500.0,5.0,1221000.0,25.0
50,BURNSIDE,KENSINGTON GARDENS,5.0,733000.0,11.0,1230000.0,4.0,1070000.0,8.0,975000.0,28.0
51,BURNSIDE,KENSINGTON PARK,15.0,890000.0,7.0,1005000.0,6.0,1058250.0,11.0,981500.0,39.0
52,BURNSIDE,LEABROOK,5.0,1670000.0,4.0,1550000.0,4.0,1030000.0,1.0,1900000.0,14.0
53,BURNSIDE,LEAWOOD GARDENS,0.0,0.0,0.0,0.0,0.0,0.0,1.0,590500.0,1.0
54,BURNSIDE,LINDEN PARK,7.0,850000.0,6.0,873000.0,10.0,897500.0,5.0,989444.0,28.0
55,BURNSIDE,MAGILL,35.0,645000.0,37.0,677000.0,38.0,704000.0,42.0,643500.0,152.0
56,BURNSIDE,MOUNT OSMOND,2.0,915000.0,2.0,1145000.0,3.0,640000.0,1.0,701000.0,8.0
