Number ID,City,Suburb,Sales Q1 2016,Median Q1 2016,Sales Q2 2016,Median Q2 2016,Sales Q3 2016,Median Q3 2016,Sales Q4 2016,Median Q4 2016,2016 Sales
0,ADELAIDE,ADELAIDE,3.0,750000.0,0.0,0.0,6.0,747500.0,6.0,683000.0,15.0
1,ADELAIDE,NORTH ADELAIDE,10.0,900500.0,14.0,892500.0,6.0,932000.0,6.0,1231000.0,36.0
2,ADELAIDE HILLS,ALDGATE,13.0,715000.0,16.0,750000.0,13.0,665000.0,10.0,695000.0,52.0
5,ADELAIDE HILLS,BELAIR,13.0,577500.0,15.0,561000.0,8.0,605000.0,18.0,623000.0,54.0
7,ADELAIDE HILLS,BRIDGEWATER,16.0,475000.0,18.0,432000.0,16.0,536250.0,12.0,490500.0,62.0
8,ADELAIDE HILLS,CAREY GULLY,0.0,0.0,0.0,0.0,0.0,0.0,1.0,600000.0,1.0
12,ADELAIDE HILLS,CRAFERS,8.0,640500.0,3.0,537000.0,9.0,675000.0,8.0,621500.0,28.0
13,ADELAIDE HILLS,CRAFERS WEST,3.0,470150.0,6.0,642500.0,5.0,599000.0,6.0,787500.0,20.0
15,ADELAIDE HILLS,GREENHILL,1.0,590000.0,3.0,490000.0,4.0,671000.0,3.0,455000.0,11.0
16,ADELAIDE HILLS,HEATHFIELD,4.0,470000.0,4.0,605000.0,3.0,675000.0,1.0,554000.0,12.0
19,ADELAIDE HILLS,IRONBANK,1.0,1000000.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0
21,ADELAIDE HILLS,LONGWOOD,0.0,0.0,0.0,0.0,1.0,565000.0,0.0,0.0,1.0
22,ADELAIDE HILLS,MARBLE HILL,0.0,0.0,0.0,0.0,0.0,0.0,1.0,570000.0,1.0
24,ADELAIDE HILLS,MOUNT GEORGE,0.0,0.0,1.0,640000.0,0.0,0.0,0.0,0.0,1.0
25,ADELAIDE HILLS,MYLOR,0.0,0.0,5.0,575000.0,1.0,665000.0,1.0,0.0,7.0
26,ADELAIDE HILLS,NORTON SUMMIT,0.0,0.0,0.0,0.0,0.0,0.0,1.0,530000.0,1.0
27,ADELAIDE HILLS,PICCADILLY,0.0,0.0,1.0,665000.0,1.0,460000.0,3.0,633000.0,5.0
28,ADELAIDE HILLS,ROSTREVOR,16.0,557500.0,33.0,605000.0,22.0,563000.0,29.0,556250.0,100.0
30,ADELAIDE HILLS,STIRLING,16.0,727500.0,7.0,755000.0,6.0,645000.0,13.0,822000.0,42.0
31,ADELAIDE HILLS,STONYFELL,3.0,880000.0,5.0,652500.0,4.0,790000.0,7.0,890000.0,19.0
32,ADELAIDE HILLS,SUMMERTOWN,2.0,525000.0,0.0,0.0,3.0,590000.0,1.0,550000.0,6.0
33,ADELAIDE HILLS,TERINGIE,0.0,0.0,4.0,607500.0,2.0,974750.0,2.0,578000.0,8.0
34,ADELAIDE HILLS,UPPER STURT,2.0,472000.0,3.0,555000.0,1.0,450000.0,5.0,532500.0,11.0
35,ADELAIDE HILLS,URAIDLA,0.0,0.0,1.0,480000.0,1.0,565000.0,0.0,0.0,2.0
37,ADELAIDE HILLS,WOODFORDE,2.0,955000.0,2.0,569000.0,1.0,485000.0,1.0,682500.0,6.0
38,BURNSIDE,AULDANA,3.0,825000.0,5.0,850000.0,5.0,937500.0,1.0,2535000.0,14.0
39,BURNSIDE,BEAUMONT,6.0,1300000.0,17.0,821220.0,8.0,880000.0,7.0,825000.0,38.0
40,BURNSIDE,BEULAH PARK,6.0,610000.0,9.0,688000.0,3.0,740000.0,6.0,810500.0,24.0
41,BURNSIDE,BURNSIDE,10.0,875000.0,5.0,805000.0,11.0,890000.0,8.0,688000.0,34.0
42,BURNSIDE,DULWICH,3.0,897500.0,5.0,1210000.0,1.0,1300000.0,7.0,985000.0,16.0
43,BURNSIDE,EASTWOOD,1.0,660000.0,4.0,582500.0,2.0,520000.0,2.0,539000.0,9.0
44,BURNSIDE,ERINDALE,3.0,1037000.0,5.0,1130000.0,2.0,1024000.0,5.0,1096000.0,15.0
45,BURNSIDE,FREWVILLE,3.0,708888.0,1.0,835000.0,2.0,890500.0,3.0,643000.0,9.0
46,BURNSIDE,GLEN OSMOND,3.0,1250000.0,5.0,926500.0,10.0,880000.0,10.0,1150000.0,28.0
