Number ID,City,Suburb,Sales Q1 2023,Median Q1 2023,Sales Q2 2023,Median Q2 2023,2023 Sales
0,ADELAIDE,ADELAIDE,2.0,1205000.0,4.0,978000.0,6.0
1,ADELAIDE,NORTH ADELAIDE,5.0,1850000.0,3.0,1040000.0,8.0
2,ADELAIDE HILLS,ALDGATE,13.0,1110000.0,11.0,1119045.0,24.0
5,ADELAIDE HILLS,BELAIR,9.0,910000.0,19.0,1101000.0,28.0
6,ADELAIDE HILLS,BRADBURY,1.0,947000.0,0.0,0.0,1.0
7,ADELAIDE HILLS,BRIDGEWATER,18.0,835000.0,23.0,800000.0,41.0
12,ADELAIDE HILLS,CRAFERS,5.0,1300000.0,11.0,1045000.0,16.0
13,ADELAIDE HILLS,CRAFERS WEST,7.0,950000.0,2.0,1270000.0,9.0
15,ADELAIDE HILLS,GREENHILL,0.0,0.0,2.0,752500.0,2.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,990000.0,4.0,980000.0,7.0
17,ADELAIDE HILLS,HORSNELL GULLY,0.0,0.0,1.0,1300000.0,1.0
23,ADELAIDE HILLS,MOUNT GEORGE,1.0,908000.0,1.0,1050000.0,2.0
25,ADELAIDE HILLS,NORTON SUMMIT,0.0,0.0,1.0,1100000.0,1.0
26,ADELAIDE HILLS,PICCADILLY,0.0,0.0,1.0,830000.0,1.0
27,ADELAIDE HILLS,ROSTREVOR,21.0,860000.0,26.0,874575.0,47.0
29,ADELAIDE HILLS,STIRLING,14.0,1200000.0,5.0,1120000.0,19.0
30,ADELAIDE HILLS,STONYFELL,6.0,1420000.0,0.0,0.0,6.0
32,ADELAIDE HILLS,TERINGIE,1.0,1650000.0,4.0,1169000.0,5.0
33,ADELAIDE HILLS,UPPER STURT,2.0,747500.0,0.0,0.0,2.0
34,ADELAIDE HILLS,URAIDLA,0.0,0.0,1.0,1105000.0,1.0
35,ADELAIDE HILLS,WATERFALL GULLY,0.0,0.0,1.0,1290000.0,1.0
36,ADELAIDE HILLS,WOODFORDE,1.0,1240000.0,5.0,1110000.0,6.0
37,BURNSIDE,AULDANA,3.0,1720000.0,1.0,2068000.0,4.0
38,BURNSIDE,BEAUMONT,7.0,1387500.0,11.0,1790000.0,18.0
39,BURNSIDE,BEULAH PARK,9.0,1350000.0,4.0,1100000.0,13.0
40,BURNSIDE,BURNSIDE,8.0,1460000.0,11.0,1280000.0,19.0
41,BURNSIDE,DULWICH,1.0,2000000.0,1.0,962500.0,2.0
42,BURNSIDE,EASTWOOD,0.0,0.0,3.0,1200000.0,3.0
43,BURNSIDE,ERINDALE,6.0,1525000.0,1.0,1500000.0,7.0
44,BURNSIDE,FREWVILLE,2.0,1325500.0,2.0,1271000.0,4.0
45,BURNSIDE,GLEN OSMOND,11.0,1256000.0,4.0,1165000.0,15.0
46,BURNSIDE,GLENSIDE,6.0,1350000.0,5.0,1700000.0,11.0
47,BURNSIDE,GLENUNGA,4.0,1705000.0,3.0,1475000.0,7.0
48,BURNSIDE,HAZELWOOD PARK,3.0,1358500.0,3.0,1720000.0,6.0
49,BURNSIDE,HORSNELL GULLY,0.0,0.0,1.0,1300000.0,1.0
50,BURNSIDE,KENSINGTON GARDENS,3.0,1225000.0,10.0,1841500.0,13.0
51,BURNSIDE,KENSINGTON PARK,8.0,1298888.0,1.0,1230000.0,9.0
52,BURNSIDE,LEABROOK,2.0,4502500.0,1.0,2890000.0,3.0
54,BURNSIDE,LINDEN PARK,3.0,1200000.0,7.0,1392500.0,10.0
55,BURNSIDE,MAGILL,24.0,915000.0,23.0,1000000.0,47.0
56,BURNSIDE,MOUNT OSMOND,3.0,1150000.0,0.0,0.0,3.0
