Number ID,City,Suburb,Sales Q1 2018,Sales Q2 2018,Sales Q3 2018,Sales Q4 2018,Sales Q1 2019,Sales Q2 2019,Sales Q3 2019,Sales Q4 2019,Sales Q1 2020,Sales Q2 2020,Sales Q3 2020,Sales Q4 2020,Sales Q1 2021,Sales Q2 2021,Sales Q3 2021,Sales Q4 2021,Sales Q1 2022,Sales Q2 2022,Sales Q3 2022,Sales Q4 2022,Median Q1 2018,Median Q2 2018,Median Q3 2018,Median Q4 2018,Median Q1 2019,Median Q2 2019,Median Q3 2019,Median Q4 2019,Median Q1 2020,Median Q2 2020,Median Q3 2020,Median Q4 2020,Median Q1 2021,Median Q2 2021,Median Q3 2021,Median Q4 2021,Median Q1 2022,Median Q2 2022,Median Q3 2022,Median Q4 2022
0,ADELAIDE,ADELAIDE,5.0,5.0,1.0,4.0,4.0,4.0,4.0,4.0,6.0,11.0,3.0,3.0,8.0,4.0,5.0,7.0,2.0,5.0,5.0,6.0,861000.0,696000.0,960000.0,1660750.0,1002500.0,677500.0,775000.0,770117.0,810000.0,850000.0,671000.0,864750.0,1013000.0,1300000.0,1012500.0,1400000.0,1266250.0,940000.0,853000.0,1400000.0
1,ADELAIDE,NORTH ADELAIDE,2.0,6.0,9.0,9.0,10.0,6.0,12.0,10.0,15.0,6.0,8.0,7.0,13.0,10.0,9.0,10.0,4.0,15.0,6.0,6.0,2195500.0,1510000.0,1520000.0,1395000.0,972000.0,1634250.0,1170000.0,1352500.0,1360000.0,945000.0,1025000.0,1600000.0,1410000.0,1608000.0,1250000.0,1247500.0,1617500.0,1300000.0,1100500.0,1325000.0
2,ADELAIDE HILLS,ALDGATE,17.0,15.0,6.0,9.0,16.0,15.0,9.0,14.0,10.0,9.0,11.0,19.0,14.0,18.0,15.0,14.0,6.0,5.0,17.0,14.0,696000.0,820000.0,770000.0,747500.0,830000.0,950000.0,697500.0,753250.0,797500.0,795000.0,730000.0,863750.0,875000.0,971000.0,875000.0,1287500.0,870000.0,982000.0,1230000.0,1170000.0
3,ADELAIDE HILLS,ASHTON,3.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,0.0,0.0,0.0,2.0,681200.0,505000.0,600000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,940000.0,530000.0,765000.0,0.0,0.0,0.0,0.0,900000.0
4,ADELAIDE HILLS,BASKET RANGE,0.0,1.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,1.0,2.0,1.0,0.0,532500.0,0.0,640000.0,0.0,0.0,0.0,375000.0,0.0,616000.0,0.0,0.0,725000.0,800000.0,0.0,0.0,0.0,785000.0,783000.0,875000.0
5,ADELAIDE HILLS,BELAIR,14.0,14.0,9.0,19.0,15.0,17.0,18.0,12.0,13.0,12.0,16.0,22.0,15.0,19.0,18.0,22.0,16.0,18.0,7.0,16.0,585000.0,577500.0,737000.0,670000.0,657500.0,541250.0,629000.0,775506.0,775000.0,672500.0,665000.0,668000.0,810000.0,910000.0,815000.0,950000.0,1072500.0,975000.0,816000.0,963000.0
6,ADELAIDE HILLS,BRADBURY,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,412000.0,0.0,0.0,678200.0,0.0,0.0,0.0,0.0,0.0,0.0
7,ADELAIDE HILLS,BRIDGEWATER,18.0,19.0,19.0,15.0,14.0,20.0,20.0,15.0,13.0,11.0,17.0,17.0,19.0,25.0,13.0,20.0,19.0,15.0,16.0,12.0,490000.0,535000.0,535000.0,470000.0,568750.0,483500.0,505250.0,515000.0,505000.0,485000.0,525000.0,508500.0,585000.0,622000.0,974100.0,742500.0,722000.0,750000.0,711000.0,725050.0
8,ADELAIDE HILLS,CAREY GULLY,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,480000.0,0.0,0.0,0.0,970000.0,630000.0,0.0,0.0,0.0,0.0,0.0,790000.0,1450000.0,0.0,0.0,571000.0
10,ADELAIDE HILLS,CHERRYVILLE,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,618500.0,0.0,0.0,0.0,610000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
12,ADELAIDE HILLS,CRAFERS,11.0,8.0,6.0,6.0,8.0,8.0,4.0,13.0,7.0,11.0,3.0,12.0,12.0,7.0,5.0,7.0,6.0,15.0,10.0,8.0,835250.0,752500.0,621000.0,770000.0,732500.0,805000.0,641000.0,637500.0,795000.0,810000.0,602000.0,722500.0,848000.0,891000.0,835000.0,1221000.0,1172500.0,1050000.0,1195000.0,950000.0
13,ADELAIDE HILLS,CRAFERS WEST,5.0,8.0,3.0,3.0,6.0,5.0,2.0,8.0,5.0,4.0,4.0,3.0,4.0,11.0,5.0,5.0,4.0,4.0,2.0,4.0,555000.0,616250.0,580000.0,818000.0,627750.0,600000.0,805000.0,957500.0,935000.0,602500.0,947500.0,650000.0,702500.0,678500.0,847250.0,1056000.0,725000.0,845500.0,1243000.0,887625.0
15,ADELAIDE HILLS,GREENHILL,0.0,5.0,2.0,2.0,4.0,0.0,1.0,4.0,2.0,1.0,1.0,4.0,4.0,2.0,4.0,3.0,1.0,0.0,0.0,1.0,0.0,587500.0,581650.0,556250.0,574000.0,0.0,443000.0,728000.0,699000.0,430000.0,600000.0,687500.0,751000.0,850000.0,1356000.0,831000.0,897000.0,0.0,0.0,851000.0
16,ADELAIDE HILLS,HEATHFIELD,3.0,3.0,1.0,5.0,4.0,2.0,2.0,5.0,1.0,2.0,0.0,8.0,3.0,5.0,3.0,0.0,0.0,2.0,2.0,2.0,700000.0,658000.0,898000.0,648000.0,718000.0,950000.0,625000.0,600000.0,580000.0,420000.0,0.0,728650.0,887500.0,945250.0,860000.0,0.0,0.0,887500.0,925000.0,1001250.0
19,ADELAIDE HILLS,IRONBANK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,937000.0,0.0,580000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
20,ADELAIDE HILLS,LONGWOOD,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,605000.0,0.0,0.0,570000.0,750000.0,750000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
21,ADELAIDE HILLS,MARBLE HILL,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,620000.0,0.0,0.0,0.0,0.0,0.0,0.0,650000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
22,ADELAIDE HILLS,MONTACUTE,1.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,490000.0,0.0,545000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
23,ADELAIDE HILLS,MOUNT GEORGE,1.0,0.0,0.0,0.0,1.0,1.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,485000.0,0.0,0.0,0.0,563000.0,705000.0,0.0,615000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,700000.0,1451000.0,0.0,0.0
24,ADELAIDE HILLS,MYLOR,0.0,0.0,2.0,2.0,1.0,2.0,0.0,0.0,1.0,0.0,0.0,1.0,0.0,1.0,0.0,2.0,2.0,3.0,3.0,1.0,0.0,0.0,640000.0,407500.0,600000.0,656500.0,0.0,0.0,435000.0,0.0,0.0,645000.0,0.0,628000.0,0.0,907500.0,685000.0,571000.0,807500.0,710000.0
25,ADELAIDE HILLS,NORTON SUMMIT,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.0,2.0,2.0,0.0,3.0,0.0,0.0,0.0,1.0,1.0,1.0,690000.0,0.0,0.0,530000.0,630000.0,0.0,504000.0,0.0,0.0,560000.0,706000.0,762500.0,0.0,1100000.0,0.0,0.0,0.0,770000.0,800000.0,1200000.0
26,ADELAIDE HILLS,PICCADILLY,2.0,0.0,0.0,2.0,1.0,1.0,1.0,2.0,0.0,0.0,0.0,2.0,3.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,794000.0,0.0,0.0,715500.0,775000.0,572315.0,440000.0,565000.0,0.0,0.0,0.0,570000.0,589750.0,0.0,0.0,880000.0,0.0,735000.0,0.0,0.0
27,ADELAIDE HILLS,ROSTREVOR,32.0,38.0,23.0,26.0,31.0,33.0,25.0,32.0,36.0,22.0,24.0,34.0,33.0,36.0,42.0,36.0,38.0,28.0,26.0,27.0,612500.0,652500.0,630000.0,637500.0,662500.0,600000.0,620000.0,600000.0,628250.0,690000.0,662500.0,650000.0,668800.0,746250.0,755000.0,897500.0,840000.0,952500.0,897000.0,861000.0
28,ADELAIDE HILLS,SCOTT CREEK,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,675000.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
