City,Suburb,"Sales
3Q 2018","Median
3Q 2018","Sales
3Q 2019","Median
3Q 2019","Median
Change"
ADELAIDE,ADELAIDE,1,960000,4,775000,-0.1927
ADELAIDE,NORTH ADELAIDE,9,1520000,12,1170000,-0.2303
ADELAIDE HILLS,ALDGATE,6,770000,9,697500,-0.0942
ADELAIDE HILLS,ASHTON,1,600000,,,
ADELAIDE HILLS,BASKET RANGE,,,,,
ADELAIDE HILLS,BELAIR,9,737000,18,629000,-0.1465
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,19,524000,20,505250,-0.0358
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,6,682500,4,641000,-0.0608
ADELAIDE HILLS,CRAFERS WEST,3,580000,2,805000,0.3879
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,581650,1,443000,-0.2384
ADELAIDE HILLS,HEATHFIELD,1,898000,2,625000,-0.304
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,1,545000,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,2,640000,,,
ADELAIDE HILLS,NORTON SUMMIT,1,770000,1,504000,-0.3455
ADELAIDE HILLS,PICCADILLY,,,1,440000,
ADELAIDE HILLS,ROSTREVOR,23,630000,25,620000,-0.0159
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,10,725000,9,878750,0.2121
ADELAIDE HILLS,STONYFELL,7,859500,2,1200000,0.3962
ADELAIDE HILLS,SUMMERTOWN,3,566000,2,530000,-0.0636
ADELAIDE HILLS,TERINGIE,2,960000,2,669500,-0.3026
ADELAIDE HILLS,UPPER STURT,6,550000,2,603000,0.0964
ADELAIDE HILLS,URAIDLA,,,2,621508,
ADELAIDE HILLS,WATERFALL GULLY,1,762000,,,
ADELAIDE HILLS,WOODFORDE,3,642000,2,589500,-0.0818
BURNSIDE,AULDANA,5,1120000,,,
BURNSIDE,BEAUMONT,11,970000,7,1076500,0.1098
BURNSIDE,BEULAH PARK,5,810000,9,690000,-0.1481
BURNSIDE,BURNSIDE,9,1200000,11,992500,-0.1729
BURNSIDE,DULWICH,,,6,1170000,
BURNSIDE,EASTWOOD,1,575000,,,
