City,Suburb,"Sales
1Q 2014","Median
1Q 2014","Sales
1Q 2015","Median
1Q 2015","Median
Change"
ADELAIDE            ,ADELAIDE             ,5,647500,6,757500,0.1699
ADELAIDE            ,NORTH ADELAIDE       ,9,1100000,4,992500,-0.0977
ADELAIDE HILLS      ,ALDGATE              ,16,605000,17,685000,0.1322
ADELAIDE HILLS      ,ASHTON               ,,,,,
ADELAIDE HILLS      ,BALHANNAH            ,1,335000,9,439000,0.3104
ADELAIDE HILLS      ,BASKET RANGE         ,,,1,951000,
ADELAIDE HILLS      ,BELAIR               ,8,532500,18,595000,0.1174
ADELAIDE HILLS      ,BIRDWOOD             ,1,547000,3,425000,-0.223
ADELAIDE HILLS      ,BRADBURY             ,,,1,505000,
ADELAIDE HILLS      ,BRIDGEWATER          ,16,391000,12,405500,0.0371
ADELAIDE HILLS      ,CAREY GULLY          ,1,450000,1,530000,0.1778
ADELAIDE HILLS      ,CASTAMBUL            ,,,,,
ADELAIDE HILLS      ,CHAIN OF PONDS       ,,,,,
ADELAIDE HILLS      ,CHARLESTON           ,1,425000,1,435000,0.0235
ADELAIDE HILLS      ,CHERRYVILLE          ,,,,,
ADELAIDE HILLS      ,CRAFERS              ,3,450000,5,565000,0.2556
ADELAIDE HILLS      ,CRAFERS WEST         ,3,590000,3,577000,-0.022
ADELAIDE HILLS      ,CROMER               ,,,,,
ADELAIDE HILLS      ,CUDLEE CREEK         ,,,,,
ADELAIDE HILLS      ,DORSET VALE          ,,,,,
ADELAIDE HILLS      ,FOREST RANGE         ,1,409000,1,370000,-0.0954
ADELAIDE HILLS      ,FORRESTON            ,,,,,
ADELAIDE HILLS      ,GREENHILL            ,2,473500,2,605250,0.2782
ADELAIDE HILLS      ,GUMERACHA            ,4,390000,2,407500,0.0449
ADELAIDE HILLS      ,HAHNDORF             ,10,492500,6,590000,0.198
ADELAIDE HILLS      ,HEATHFIELD           ,6,470000,3,700000,0.4894
ADELAIDE HILLS      ,HOUGHTON             ,1,700000,,,
ADELAIDE HILLS      ,HUMBUG SCRUB         ,,,,,
ADELAIDE HILLS      ,INGLEWOOD            ,1,390000,,,
ADELAIDE HILLS      ,IRONBANK             ,1,380000,,,
ADELAIDE HILLS      ,KERSBROOK            ,,,4,340000,
ADELAIDE HILLS      ,LENSWOOD             ,1,510000,1,190000,-0.6275
ADELAIDE HILLS      ,LITTLEHAMPTON        ,17,400000,19,452500,0.1313
ADELAIDE HILLS      ,LOBETHAL             ,12,317500,5,299950,-0.0553
ADELAIDE HILLS      ,LONGWOOD             ,,,,,
ADELAIDE HILLS      ,LOWER HERMITAGE      ,,,,,
ADELAIDE HILLS      ,MARBLE HILL          ,,,,,
ADELAIDE HILLS      ,MONTACUTE            ,,,,,
ADELAIDE HILLS      ,MOUNT GEORGE         ,,,,,
ADELAIDE HILLS      ,MOUNT TORRENS        ,5,282500,,,
ADELAIDE HILLS      ,MYLOR                ,,,1,390000,
ADELAIDE HILLS      ,NAIRNE               ,22,337500,21,367000,0.0874
ADELAIDE HILLS      ,NORTON SUMMIT        ,,,,,
ADELAIDE HILLS      ,OAKBANK              ,3,412000,,,
ADELAIDE HILLS      ,PARACOMBE            ,2,512500,1,460000,-0.1024
ADELAIDE HILLS      ,PICCADILLY           ,,,1,550000,
ADELAIDE HILLS      ,ROSTREVOR            ,28,512500,15,486000,-0.0517
ADELAIDE HILLS      ,SCOTT CREEK          ,1,475000,,,
ADELAIDE HILLS      ,SKYE                 ,2,870000,1,840000,-0.0345
ADELAIDE HILLS      ,STIRLING             ,16,695000,15,622500,-0.1043
ADELAIDE HILLS      ,SUMMERTOWN           ,3,686000,2,648750,-0.0543
ADELAIDE HILLS      ,TERINGIE             ,2,549000,,,
ADELAIDE HILLS      ,UPPER HERMITAGE      ,,,,,
ADELAIDE HILLS      ,UPPER STURT          ,1,370000,4,500000,0.3514
ADELAIDE HILLS      ,URAIDLA              ,2,480000,3,415500,-0.1344
ADELAIDE HILLS      ,VERDUN               ,1,340000,1,417500,0.2279
ADELAIDE HILLS      ,WATERFALL GULLY      ,,,2,805000,
ADELAIDE HILLS      ,WOODFORDE            ,,,1,840000,
ADELAIDE HILLS      ,WOODSIDE             ,6,391291,6,313750,-0.1982
BURNSIDE            ,AULDANA              ,2,755000,3,1010000,0.3377
BURNSIDE            ,BEAUMONT             ,13,750000,9,856000,0.1413
BURNSIDE            ,BEULAH PARK          ,1,655000,9,765000,0.1679
BURNSIDE            ,BURNSIDE             ,14,885000,7,725000,-0.1808
BURNSIDE            ,DULWICH              ,3,932500,3,755000,-0.1903
BURNSIDE            ,EASTWOOD             ,2,499000,3,676320,0.3554
BURNSIDE            ,ERINDALE             ,6,911000,2,857500,-0.0587
BURNSIDE            ,FREWVILLE            ,3,553000,2,780000,0.4105
BURNSIDE            ,GLEN OSMOND          ,9,850000,8,955000,0.1235
BURNSIDE            ,GLENSIDE             ,5,700000,2,905000,0.2929
BURNSIDE            ,GLENUNGA             ,5,725000,7,970000,0.3379
BURNSIDE            ,HAZELWOOD PARK       ,5,802000,7,748000,-0.0673
BURNSIDE            ,KENSINGTON GARDENS   ,6,902500,9,1200000,0.3296
BURNSIDE            ,KENSINGTON PARK      ,10,719500,5,800000,0.1119
BURNSIDE            ,LEABROOK             ,2,1427500,6,1620000,0.1349
BURNSIDE            ,LEAWOOD GARDENS      ,,,,,
BURNSIDE            ,LINDEN PARK          ,8,752750,10,800000,0.0628
BURNSIDE            ,MAGILL               ,37,625000,25,590000,-0.056
BURNSIDE            ,MOUNT OSMOND         ,,,1,600000,
BURNSIDE            ,ROSE PARK            ,3,1560000,5,1610000,0.0321
BURNSIDE            ,ROSSLYN PARK         ,6,1115000,4,1130000,0.0135
BURNSIDE            ,SKYE                 ,2,870000,1,840000,-0.0345
BURNSIDE            ,ST.GEORGES           ,10,752500,8,956750,0.2714
BURNSIDE            ,STONYFELL            ,7,687500,9,800000,0.1636
BURNSIDE            ,TOORAK GARDENS       ,6,1002500,6,1301000,0.2978
BURNSIDE            ,TUSMORE              ,5,750000,6,1108000,0.4773
BURNSIDE            ,WATERFALL GULLY      ,,,2,805000,
BURNSIDE            ,WATTLE PARK          ,13,750000,12,746250,-0.005
CAMPBELLTOWN        ,ATHELSTONE           ,24,415000,26,472500,0.1386
CAMPBELLTOWN        ,CAMPBELLTOWN         ,21,465000,26,460000,-0.0108
CAMPBELLTOWN        ,HECTORVILLE          ,11,457500,11,522500,0.1421
CAMPBELLTOWN        ,MAGILL               ,37,625000,25,590000,-0.056
