City,Suburb,"Sales
2Q 2014","Median
2Q 2014","Sales
2Q 2015","Median
2Q 2015","Median
Change"
ADELAIDE,ADELAIDE,7,642500,9,785000,22.20%
ADELAIDE,NORTH ADELAIDE,17,1250000,5,1189000,-4.90%
ADELAIDE HILLS,ALDGATE,16,680000,9,685000,0.70%
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,370000,
ADELAIDE HILLS,BELAIR,18,532500,12,550500,3.40%
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,11,485000,14,415000,-14.40%
ADELAIDE HILLS,CAREY GULLY,,,,,
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,547500,4,608000,11.10%
ADELAIDE HILLS,CRAFERS WEST,5,640000,2,554500,-13.40%
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,2,593000,4,492500,-16.90%
ADELAIDE HILLS,HEATHFIELD,5,525000,2,675000,28.60%
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,1,419000,,,
ADELAIDE HILLS,KENTON VALLEY,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,,,,,
ADELAIDE HILLS,MYLOR,3,361000,1,380000,5.30%
ADELAIDE HILLS,NORTON SUMMIT,1,500000,,,
ADELAIDE HILLS,PICCADILLY,1,520000,,,
ADELAIDE HILLS,ROSTREVOR,28,444250,17,525000,18.20%
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,15,585000,8,727742.5,24.40%
ADELAIDE HILLS,STONYFELL,6,960000,3,844500,-12.00%
ADELAIDE HILLS,SUMMERTOWN,3,728000,2,517500,-28.90%
ADELAIDE HILLS,TERINGIE,1,520000,2,588750,13.20%
ADELAIDE HILLS,UPPER STURT,5,545000,2,423750,-22.20%
ADELAIDE HILLS,URAIDLA,3,380000,4,605500,59.30%
ADELAIDE HILLS,WATERFALL GULLY,,,,,
ADELAIDE HILLS,WOODFORDE,5,610000,1,560000,-8.20%
BURNSIDE,AULDANA,3,945000,1,820000,-13.20%
BURNSIDE,BEAUMONT,11,757000,11,865000,14.30%
BURNSIDE,BEULAH PARK,4,669000,3,577500,-13.70%
BURNSIDE,BURNSIDE,9,788000,4,970000,23.10%
BURNSIDE,DULWICH,8,861500,2,960000,11.40%
BURNSIDE,EASTWOOD,2,565000,1,420000,-25.70%
BURNSIDE,ERINDALE,6,1050000,1,1031000,-1.80%
BURNSIDE,FREWVILLE,2,540000,,,
BURNSIDE,GLEN OSMOND,6,775000,8,755500,-2.50%
BURNSIDE,GLENSIDE,8,689500,5,865000,25.50%
BURNSIDE,GLENUNGA,10,1350000,3,872888,-35.30%
BURNSIDE,HAZELWOOD PARK,12,740000,5,980000,32.40%
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,5,906000,7,671250,-25.90%
BURNSIDE,KENSINGTON PARK,12,809000,7,900000,11.20%
BURNSIDE,LEABROOK,5,1377000,,,
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,6,889500,2,850000,-4.40%
BURNSIDE,MAGILL,41,533275,29,593600,11.30%
BURNSIDE,MOUNT OSMOND,,,1,495000,
BURNSIDE,ROSE PARK,7,1040000,4,1490000,43.30%
BURNSIDE,ROSSLYN PARK,9,740000,7,927500,25.30%
BURNSIDE,SKYE,1,520000,2,615000,18.30%
BURNSIDE,ST GEORGES,7,970000,3,900000,-7.20%
BURNSIDE,STONYFELL,6,960000,3,844500,-12.00%
BURNSIDE,TOORAK GARDENS,6,1370000,8,1600000,16.80%
BURNSIDE,TUSMORE,3,1100000,3,1215000,10.50%
BURNSIDE,WATERFALL GULLY,,,,,
BURNSIDE,WATTLE PARK,6,720000,9,805000,11.80%
CAMPBELLTOWN,ATHELSTONE,32,483000,20,485000,0.40%
CAMPBELLTOWN,CAMPBELLTOWN,24,440000,29,510000,15.90%
CAMPBELLTOWN,HECTORVILLE,10,474000,3,485000,2.30%
CAMPBELLTOWN,MAGILL,41,533275,29,593600,11.30%
CAMPBELLTOWN,NEWTON,11,477500,17,497500,4.20%
CAMPBELLTOWN,PARADISE,19,475000,13,485000,2.10%
CAMPBELLTOWN,ROSTREVOR,28,444250,17,525000,18.20%
CAMPBELLTOWN,TRANMERE,12,587500,14,620000,5.50%
CHARLES STURT,ALBERT PARK,4,427500,6,400000,-6.40%
CHARLES STURT,ALLENBY GARDENS,9,485000,2,500000,3.10%
CHARLES STURT,ATHOL PARK,3,378000,2,357500,-5.40%
CHARLES STURT,BEVERLEY,10,373500,2,514500,37.80%
CHARLES STURT,BOWDEN,2,244000,,,
CHARLES STURT,BROMPTON,6,497750,4,485000,-2.60%
CHARLES STURT,CHELTENHAM,8,510000,1,745000,46.10%
CHARLES STURT,CROYDON,7,565000,1,500000,-11.50%
CHARLES STURT,DEVON PARK,6,455000,,,
CHARLES STURT,FINDON,20,450000,18,431000,-4.20%
CHARLES STURT,FLINDERS PARK,9,480000,15,560000,16.70%
CHARLES STURT,FULHAM GARDENS,19,530000,19,600000,13.20%
CHARLES STURT,GRANGE,20,586500,12,600000,2.30%
CHARLES STURT,HENDON,9,350000,2,353750,1.10%
CHARLES STURT,HENLEY BEACH,12,780000,9,775000,-0.60%
CHARLES STURT,HENLEY BEACH SOUTH,6,832500,7,1000000,20.10%
CHARLES STURT,HINDMARSH,1,480000,,,
CHARLES STURT,KIDMAN PARK,5,730000,5,480000,-34.20%
CHARLES STURT,KILKENNY,4,455000,1,505000,11.00%
CHARLES STURT,OVINGHAM,,,3,596250,
CHARLES STURT,PENNINGTON,6,440000,4,345000,-21.60%
CHARLES STURT,RENOWN PARK,10,412500,1,410000,-0.60%
CHARLES STURT,RIDLEYTON,2,540000,4,428000,-20.70%
CHARLES STURT,ROSEWATER,13,332500,14,365000,9.80%
CHARLES STURT,ROYAL PARK,8,412500,12,348000,-15.60%
CHARLES STURT,SEATON,33,475000,18,453000,-4.60%
CHARLES STURT,SEMAPHORE PARK,9,454142,11,501249.5,10.40%
CHARLES STURT,ST CLAIR,2,775000,5,645000,-16.80%
CHARLES STURT,TENNYSON,4,1136000,6,1070347,-5.80%
CHARLES STURT,WELLAND,1,560000,,,
CHARLES STURT,WEST BEACH,18,560000,11,567500,1.30%
CHARLES STURT,WEST CROYDON,19,486000,11,559000,15.00%
CHARLES STURT,WEST HINDMARSH,7,482500,1,480000,-0.50%
CHARLES STURT,WEST LAKES,17,790000,13,794342.5,0.50%
CHARLES STURT,WEST LAKES SHORE,11,520000,2,822500,58.20%
CHARLES STURT,WOODVILLE,2,520250,3,535000,2.80%
CHARLES STURT,WOODVILLE NORTH,10,433500,6,432000,-0.30%
CHARLES STURT,WOODVILLE PARK,5,531000,4,456500,-14.00%
CHARLES STURT,WOODVILLE SOUTH,14,449250,14,415000,-7.60%
