City,Suburb,"Sales
2Q 2019","Median
2Q 2019","Sales
2Q 2020","Median
2Q 2020","Median
Change"
ADELAIDE,ADELAIDE,4,"677,500",11,"850,000",25.46%
ADELAIDE,NORTH ADELAIDE,7,"1,698,500",6,"945,000",-44.36%
ADELAIDE HILLS,ALDGATE,15,"950,000",9,"795,000",-16.32%
ADELAIDE HILLS,ASHTON,,,,,
ADELAIDE HILLS,BASKET RANGE,,,1,"616,000",
ADELAIDE HILLS,BELAIR,17,"541,250",12,"672,500",24.25%
ADELAIDE HILLS,BRADBURY,,,,,
ADELAIDE HILLS,BRIDGEWATER,20,"483,500",11,"485,000",0.31%
ADELAIDE HILLS,CAREY GULLY,,,1,"630,000",
ADELAIDE HILLS,CASTAMBUL,,,,,
ADELAIDE HILLS,CHERRYVILLE,,,,,
ADELAIDE HILLS,CLELAND,,,,,
ADELAIDE HILLS,CRAFERS,8,"805,000",11,"810,000",0.62%
ADELAIDE HILLS,CRAFERS WEST,5,"600,000",4,"602,500",0.42%
ADELAIDE HILLS,DORSET VALE,,,,,
ADELAIDE HILLS,GREENHILL,,,1,"430,000",
ADELAIDE HILLS,HEATHFIELD,2,"950,000",2,"420,000",-55.79%
ADELAIDE HILLS,HORSNELL GULLY,,,,,
ADELAIDE HILLS,HUMBUG SCRUB,,,,,
ADELAIDE HILLS,IRONBANK,,,,,
ADELAIDE HILLS,LONGWOOD,,,,,
ADELAIDE HILLS,MARBLE HILL,,,,,
ADELAIDE HILLS,MONTACUTE,,,,,
ADELAIDE HILLS,MOUNT GEORGE,1,"705,000",,,
ADELAIDE HILLS,MYLOR,2,"656,500",,,
ADELAIDE HILLS,NORTON SUMMIT,,,1,"560,000",
ADELAIDE HILLS,PICCADILLY,1,"572,315",,,
ADELAIDE HILLS,ROSTREVOR,36,"604,500",22,"690,000",14.14%
ADELAIDE HILLS,SCOTT CREEK,,,,,
ADELAIDE HILLS,STIRLING,16,"705,000",14,"872,500",23.76%
ADELAIDE HILLS,STONYFELL,12,"925,000",7,"1,048,888",13.39%
ADELAIDE HILLS,SUMMERTOWN,,,1,"700,000",
ADELAIDE HILLS,TERINGIE,3,"726,000",2,"764,500",5.30%
ADELAIDE HILLS,UPPER STURT,,,2,"670,000",
ADELAIDE HILLS,URAIDLA,1,"665,000",1,"815,000",22.56%
ADELAIDE HILLS,WATERFALL GULLY,1,"820,750",,,
ADELAIDE HILLS,WOODFORDE,2,"755,000",,,
BURNSIDE,AULDANA,2,"935,000",1,"2,860,000",205.88%
BURNSIDE,BEAUMONT,14,"892,500",12,"950,000",6.44%
BURNSIDE,BEULAH PARK,5,"875,000",11,"1,006,000",14.97%
BURNSIDE,BURNSIDE,4,"875,500",6,"758,750",-13.34%
BURNSIDE,DULWICH,5,"1,192,500",4,"998,500",-16.27%
BURNSIDE,EASTWOOD,3,"615,000",,,
BURNSIDE,ERINDALE,2,"1,096,250",3,"1,170,000",6.73%
BURNSIDE,FREWVILLE,3,"950,000",4,"947,500",-0.26%
BURNSIDE,GLEN OSMOND,5,"940,000",9,"906,000",-3.62%
BURNSIDE,GLENSIDE,25,"898,500",3,"1,076,500",19.81%
BURNSIDE,GLENUNGA,6,"1,330,000",6,"1,051,888",-20.91%
BURNSIDE,HAZELWOOD PARK,4,"878,250",8,"1,202,500",36.92%
BURNSIDE,HORSNELL GULLY,,,,,
BURNSIDE,KENSINGTON GARDENS,8,"1,190,000",7,"966,250",-18.80%
BURNSIDE,KENSINGTON PARK,5,"970,000",2,"948,000",-2.27%
BURNSIDE,LEABROOK,3,"1,136,000",1,"1,080,000",-4.93%
BURNSIDE,LEAWOOD GARDENS,,,,,
BURNSIDE,LINDEN PARK,5,"840,000",5,"850,000",1.19%
BURNSIDE,MAGILL,28,"653,000",23,"775,000",18.68%
BURNSIDE,MOUNT OSMOND,2,"750,000",3,"860,000",14.67%
BURNSIDE,ROSE PARK,4,"1,800,500",1,"860,000",-52.24%
BURNSIDE,ROSSLYN PARK,2,"893,500",4,"915,000",2.41%
BURNSIDE,SKYE,,,,,
BURNSIDE,ST GEORGES,7,"1,380,000",6,"1,140,000",-17.39%
BURNSIDE,STONYFELL,12,"925,000",7,"1,048,888",13.39%
BURNSIDE,TOORAK GARDENS,11,"1,330,000",14,"1,425,000",7.14%
BURNSIDE,TUSMORE,3,"1,863,500",5,"1,268,000",-31.96%
BURNSIDE,WATERFALL GULLY,1,"820,750",,,
BURNSIDE,WATTLE PARK,6,"1,025,000",7,"950,000",-7.32%
CAMPBELLTOWN,ATHELSTONE,33,"578,000",33,"590,000",2.08%
CAMPBELLTOWN,CAMPBELLTOWN,31,"555,000",27,"546,000",-1.62%
CAMPBELLTOWN,HECTORVILLE,13,"595,000",10,"566,000",-4.87%
CAMPBELLTOWN,MAGILL,28,"653,000",23,"775,000",18.68%
CAMPBELLTOWN,NEWTON,12,"549,000",13,"570,000",3.83%
CAMPBELLTOWN,PARADISE,13,"488,000",13,"477,500",-2.15%
CAMPBELLTOWN,ROSTREVOR,36,"604,500",22,"690,000",14.14%
CAMPBELLTOWN,TRANMERE,12,"655,000",17,"680,000",3.82%
CHARLES STURT,ALBERT PARK,8,"487,500",9,"450,000",-7.69%
CHARLES STURT,ALLENBY GARDENS,5,"535,000",4,"890,000",66.36%
CHARLES STURT,ATHOL PARK,6,"376,500",6,"414,000",9.96%
CHARLES STURT,BEVERLEY,5,"490,000",8,"470,000",-4.08%
CHARLES STURT,BOWDEN,1,"511,000",2,"586,000",14.68%
CHARLES STURT,BROMPTON,8,"575,000",5,"580,000",0.87%
CHARLES STURT,CHELTENHAM,6,"555,000",2,"471,000",-15.14%
CHARLES STURT,CROYDON,2,"660,000",2,"615,000",-6.82%
CHARLES STURT,DEVON PARK,2,"485,000",4,"568,000",17.11%
CHARLES STURT,FINDON,21,"560,000",14,"560,000",0.00%
CHARLES STURT,FLINDERS PARK,20,"598,500",20,"560,000",-6.43%
CHARLES STURT,FULHAM GARDENS,18,"667,500",13,"725,000",8.61%
CHARLES STURT,GRANGE,16,"780,000",20,"848,500",8.78%
CHARLES STURT,HENDON,4,"450,000",2,"480,000",6.67%
CHARLES STURT,HENLEY BEACH,18,"857,500",16,"926,500",8.05%
CHARLES STURT,HENLEY BEACH SOUTH,4,"1,125,000",4,"837,500",-25.56%
CHARLES STURT,HINDMARSH,,,,,
CHARLES STURT,KIDMAN PARK,15,"580,000",14,"627,500",8.19%
CHARLES STURT,KILKENNY,2,"392,625",7,"515,500",31.30%
CHARLES STURT,OVINGHAM,2,"527,500",1,"702,000",33.08%
CHARLES STURT,PENNINGTON,11,"420,000",8,"471,500",12.26%
CHARLES STURT,RENOWN PARK,1,"435,000",4,"497,500",14.37%
CHARLES STURT,RIDLEYTON,2,"490,500",3,"560,000",14.17%
CHARLES STURT,ROSEWATER,11,"423,000",8,"481,750",13.89%
CHARLES STURT,ROYAL PARK,13,"402,500",9,"480,000",19.25%
CHARLES STURT,SEATON,33,"524,850",28,"540,000",2.89%
CHARLES STURT,SEMAPHORE PARK,12,"565,000",8,"535,000",-5.31%
CHARLES STURT,ST CLAIR,5,"605,000",8,"452,500",-25.21%
CHARLES STURT,TENNYSON,4,"1,997,500",1,"975,000",-51.19%
CHARLES STURT,WELLAND,1,"794,000",,,
CHARLES STURT,WEST BEACH,12,"706,250",10,"932,500",32.04%
CHARLES STURT,WEST CROYDON,11,"570,638",13,"579,250",1.51%
CHARLES STURT,WEST HINDMARSH,3,"563,500",4,"505,000",-10.38%
CHARLES STURT,WEST LAKES,12,"738,750",11,"814,000",10.19%
CHARLES STURT,WEST LAKES SHORE,10,"670,000",9,"660,000",-1.49%
CHARLES STURT,WOODVILLE,3,"640,000",6,"695,000",8.59%
CHARLES STURT,WOODVILLE NORTH,9,"429,000",5,"431,000",0.47%
CHARLES STURT,WOODVILLE PARK,7,"572,500",5,"810,000",41.48%
CHARLES STURT,WOODVILLE SOUTH,9,"580,000",8,"550,000",-5.17%
CHARLES STURT,WOODVILLE WEST,15,"552,500",9,"595,000",7.69%
GAWLER,BIBARINGA,,,,,
GAWLER,EVANSTON,7,"319,950",14,"287,000",-10.30%
GAWLER,EVANSTON GARDENS,3,"312,000",9,"340,000",8.97%
GAWLER,EVANSTON PARK,10,"365,000",11,"341,500",-6.44%
GAWLER,EVANSTON SOUTH,6,"412,725",2,"424,000",2.73%
GAWLER,GAWLER,1,"350,000",,,
GAWLER,GAWLER EAST,19,"361,231",24,"347,500",-3.80%
GAWLER,GAWLER SOUTH,13,"327,500",11,"380,000",16.03%
GAWLER,GAWLER WEST,4,"264,000",4,"323,750",22.63%
GAWLER,HILLIER,,,,,
GAWLER,KUDLA,,,,,
GAWLER,REID,2,"404,000",1,"380,000",-5.94%
GAWLER,ULEYBURY,,,,,
GAWLER,WILLASTON,15,"276,000",9,"347,500",25.91%
HOLDFAST BAY,BRIGHTON,19,"882,500",7,"645,000",-26.91%
HOLDFAST BAY,GLENELG,3,"990,000",1,"775,000",-21.72%
HOLDFAST BAY,GLENELG EAST,10,"613,000",10,"940,000",53.34%
HOLDFAST BAY,GLENELG NORTH,8,"770,000",14,"700,000",-9.09%
HOLDFAST BAY,GLENELG SOUTH,5,"990,000",3,"1,280,000",29.29%
HOLDFAST BAY,HOVE,7,"590,000",6,"1,002,500",69.92%
HOLDFAST BAY,KINGSTON PARK,4,"742,500",2,"975,000",31.31%
HOLDFAST BAY,NORTH BRIGHTON,10,"690,000",5,"650,000",-5.80%
HOLDFAST BAY,SEACLIFF,8,"650,000",5,"840,000",29.23%
HOLDFAST BAY,SEACLIFF PARK,14,"555,000",8,"771,622",39.03%
HOLDFAST BAY,SOMERTON PARK,14,"730,000",13,"989,500",35.55%
